Component,Explained_Variance,Cumulative
PC1,0.43371685381688774,0.43371685381688774
PC2,0.14532743975271634,0.5790442935696041
PC3,0.08896773850193311,0.6680120320715371
PC4,0.06895636559308337,0.7369683976646205
PC5,0.06511991899086306,0.8020883166554835
PC6,0.054199599794020954,0.8562879164495045
PC7,0.04488420926495744,0.9011721257144619
PC8,0.028747026264122913,0.9299191519785849
PC9,0.024068473641367126,0.953987625619952
PC10,0.017219315031378427,0.9712069406513304
