Composition,Temperature,Stage,Delta_Temperature,First_Temperature,Last_Temperature,Max_AtomicVolume,Max_CN,Max_CavityRadius,Max_Displacement,Max_Temperature,Mean_AtomicVolume,Mean_CN,Mean_CavityRadius,Mean_Displacement,Mean_Temperature,Median_AtomicVolume,Median_CN,Median_CavityRadius,Median_Displacement,Min_AtomicVolume,Min_CN,Min_CavityRadius,Min_Displacement,Min_Temperature,Std_AtomicVolume,Std_CN,Std_CavityRadius,Std_Displacement,Std_Temperature
5050,100,equilibrium,123.57499999999999,178.231,301.806,2922.58,24.0,30.46,0.0,308.46,37.52112197622049,13.518284993694829,3.569698453431814,0.0,276.768515,10.49175,14.0,2.34313,0.0,2.10642,3.0,1.45265,0.0,178.231,146.94638951533193,3.2537324564755887,3.86405010735081,0.0,37.98302919494303
5050,100,bed,31.555000000000007,302.466,334.021,2766.72,24.0,25.6269,0.0,334.988,37.52112134119979,12.306971716807782,3.769001420464782,0.0,315.92312333333336,12.3107,12.0,2.7641400000000003,0.0,2.28311,2.0,1.47107,0.0,297.17,127.77060530260859,3.1517463610963654,3.1759871164862106,0.0,10.003918915790011
5050,100,laser,35.652000000000044,335.006,370.658,3305.17,23.0,22.4344,0.0,376.514,37.521119337957124,12.443883984867592,3.7634378085029723,0.0,353.07880750000004,11.980699999999999,12.0,2.704805,0.0,2.33716,1.0,1.42869,0.0,328.86,131.90095699042945,3.153442213680948,3.0948384768259856,0.0,12.667894187999032
5050,100,hold,-1.441000000000031,370.632,369.191,2917.2,24.0,22.7393,0.0,379.889,37.52112184561341,12.855341379931543,3.7091904638803825,0.0,373.00572875,11.11785,13.0,2.4938700000000003,0.0,2.15354,1.0,1.47244,0.0,365.013,129.5650306580973,3.164181094892716,3.280821609634799,0.0,2.458524927919165
5050,100,cooling,-36.617999999999995,369.43,332.812,3158.19,24.0,22.6743,0.0,376.188,37.52112612412178,13.09097459917132,3.61718094307332,0.0,353.68184249999996,10.805499999999999,13.0,2.39264,0.0,2.3099,1.0,1.46024,0.0,332.812,140.59829113576234,3.113967644649343,3.413741750646683,0.0,11.564993016269385
5050,150,equilibrium,123.57499999999999,178.231,301.806,2922.58,24.0,30.46,0.0,308.46,37.52112197622049,13.518284993694829,3.569698453431814,0.0,276.768515,10.49175,14.0,2.34313,0.0,2.10642,3.0,1.45265,0.0,178.231,146.94638951533193,3.2537324564755887,3.86405010735081,0.0,37.98302919494303
5050,150,bed,31.555000000000007,302.466,334.021,2766.72,24.0,25.6269,0.0,334.988,37.52112134119979,12.306971716807782,3.769001420464782,0.0,315.92312333333336,12.3107,12.0,2.7641400000000003,0.0,2.28311,2.0,1.47107,0.0,297.17,127.77060530260859,3.1517463610963654,3.1759871164862106,0.0,10.003918915790011
5050,150,laser,86.96500000000003,335.006,421.971,3305.17,23.0,22.4344,0.0,423.002,37.521119337957124,12.443883984867592,3.7634378085029723,0.0,376.3555725,11.980699999999999,12.0,2.704805,0.0,2.33716,1.0,1.42869,0.0,332.266,131.90095699042945,3.153442213680948,3.0948384768259856,0.0,25.61737167125272
5050,150,hold,2.0260000000000105,422.637,424.663,3011.52,24.0,22.0764,0.0,432.456,37.5211233156188,12.565123401188975,3.7303826265537743,0.0,423.76328624999996,11.686350000000001,13.0,2.58721,0.0,2.42078,1.0,1.44858,0.0,416.137,132.43346590710493,3.1041497948872103,3.1487727295927974,0.0,2.794173152977813
5050,150,cooling,-88.67900000000003,424.709,336.03,3615.24,23.0,21.9546,0.0,426.167,37.521125031525855,12.908484957665285,3.656828662403171,0.0,380.40974,11.07235,13.0,2.473505,0.0,2.1982,1.0,1.45961,0.0,335.983,142.54943115050833,3.106827244353604,3.2843902833300858,0.0,25.780756985866624
