Composition,Temperature,Stage,Mean_CN,Std_CN,Min_CN,Max_CN,Median_CN,Mean_AtomicVolume,Std_AtomicVolume,Min_AtomicVolume,Max_AtomicVolume,Median_AtomicVolume,Mean_CavityRadius,Std_CavityRadius,Min_CavityRadius,Max_CavityRadius,Median_CavityRadius,Mean_Displacement,Std_Displacement,Min_Displacement,Max_Displacement,Median_Displacement,Mean_Temperature,Std_Temperature,Min_Temperature,Max_Temperature,First_Temperature,Last_Temperature,Delta_Temperature
5050,100,equilibrium,1.0,0.8948103995850971,1.0,0.3333333333333339,1.0,0.9999990054097143,0.8294699855655803,0.09046136874039634,0.13900848031163315,0.08816254083347497,0.40536728826370716,1.0,0.5755349728521253,1.0,0.007296557120500147,0.0,0.0,0.0,0.0,0.0,0.0,0.41852994184991177,0.0,0.008916899241774745,0.0,0.013527669140886545,0.7197198503987016
5050,100,bed,0.33608557791547256,0.4221469794877315,0.5,0.3333333333333339,0.0,0.9999988531434507,0.5452633840070586,0.3225115900345408,0.11424749546435181,0.7750901640892014,0.8219324584329559,0.4894400964394836,0.8696901948259352,0.6080592318671338,0.8308685446009392,0.0,0.0,0.0,0.0,0.0,0.11305972406700193,0.0922728722726523,0.2744817941392314,0.0895672582890985,0.2746872498772878,0.11022033862694336,0.5573812716110367
5050,100,laser,0.411126470358103,0.43000655563513845,0.0,0.0,0.0,0.9999983728027786,0.6064798225847412,0.39349644747383206,0.19978934257726494,0.6504654544081268,0.8103038961584987,0.42922578148711255,0.19290961354199965,0.34916309848189964,0.7147985133020338,0.0,0.0,0.0,0.0,0.0,0.2203475141437511,0.1233367894975251,0.3476144760709126,0.21581449930987517,0.3466341497928264,0.22018555147687824,0.5646090607578859
5050,100,hold,0.6366440997514786,0.4797768336588195,0.0,0.3333333333333339,0.5,0.9999989740925415,0.5718587777795598,0.1523449299344657,0.1381537767412599,0.3246096036556585,0.6969209662385394,0.5672299055447545,0.8915681890769704,0.3738889970157,0.3021713615023476,0.0,0.0,0.0,0.0,0.0,0.27788690258176263,0.004288011184241158,0.4310466581433668,0.2260751658427731,0.4254042867439937,0.21578238071369182,0.4991708418601368
5050,100,cooling,0.7657934251658984,0.2470582357100568,0.0,0.3333333333333339,0.5,1.0,0.7353840568336776,0.3576953889392325,0.17643909522160334,0.20665042768934416,0.5046109255864852,0.6658599659858813,0.6967422548706494,0.36861781497340074,0.10414710485132961,0.0,0.0,0.0,0.0,0.0,0.22208878991191383,0.11047614808570916,0.35673471460022804,0.2148233949277345,0.4227466292855279,0.10659154963396966,0.4371127655070214
5050,150,equilibrium,1.0,0.8948103995850971,1.0,0.3333333333333339,1.0,0.9999990054097143,0.8294699855655803,0.09046136874039634,0.13900848031163315,0.08816254083347497,0.40536728826370716,1.0,0.5755349728521253,1.0,0.007296557120500147,0.0,0.0,0.0,0.0,0.0,0.0,0.41852994184991177,0.0,0.008916899241774745,0.0,0.013527669140886545,0.7197198503987016
5050,150,bed,0.33608557791547256,0.4221469794877315,0.5,0.3333333333333339,0.0,0.9999988531434507,0.5452633840070586,0.3225115900345408,0.11424749546435181,0.7750901640892014,0.8219324584329559,0.4894400964394836,0.8696901948259352,0.6080592318671338,0.8308685446009392,0.0,0.0,0.0,0.0,0.0,0.11305972406700193,0.0922728722726523,0.2744817941392314,0.0895672582890985,0.2746872498772878,0.11022033862694336,0.5573812716110367
5050,150,laser,0.411126470358103,0.43000655563513845,0.0,0.0,0.0,0.9999983728027786,0.6064798225847412,0.39349644747383206,0.19978934257726494,0.6504654544081268,0.8103038961584987,0.42922578148711255,0.19290961354199965,0.34916309848189964,0.7147985133020338,0.0,0.0,0.0,0.0,0.0,0.28755964421202795,0.27433725141682197,0.35547468164551993,0.3571472002821303,0.3466341497928264,0.37420048083705293,0.6551337238021312
5050,150,hold,0.47757715537637857,0.20155655796353322,0.0,0.3333333333333339,0.5,0.9999993265727447,0.6143722012133832,0.5033161288627976,0.1531380965846808,0.5393039898789631,0.7412149222278428,0.4692463424776552,0.5105397636537852,0.32013104969508244,0.48476134585289454,0.0,0.0,0.0,0.0,0.0,0.4244503772157183,0.008201917138500037,0.5490282053530631,0.3858892273642096,0.5403888758683817,0.38228046426888485,0.5052872062663185
5050,150,cooling,0.6657718145811833,0.21396543014574299,0.0,0.0,0.5,0.9999997380156334,0.764302137398428,0.21099772795923455,0.24904918199466836,0.30742649974508574,0.5874790293349355,0.5698779504503744,0.6866815713829446,0.3102536654988972,0.2623337245696389,0.0,0.0,0.0,0.0,0.0,0.299266134926205,0.276242444735196,0.36405259829872477,0.36676942534187007,0.544970128991461,0.11625031140352204,0.34526850610401516
5050,200,equilibrium,1.0,0.8948103995850971,1.0,0.3333333333333339,1.0,0.9999990054097143,0.8294699855655803,0.09046136874039634,0.13900848031163315,0.08816254083347497,0.40536728826370716,1.0,0.5755349728521253,1.0,0.007296557120500147,0.0,0.0,0.0,0.0,0.0,0.0,0.41852994184991177,0.0,0.008916899241774745,0.0,0.013527669140886545,0.7197198503987016
5050,200,bed,0.33608557791547256,0.4221469794877315,0.5,0.3333333333333339,0.0,0.9999988531434507,0.5452633840070586,0.3225115900345408,0.11424749546435181,0.7750901640892014,0.8219324584329559,0.4894400964394836,0.8696901948259352,0.6080592318671338,0.8308685446009392,0.0,0.0,0.0,0.0,0.0,0.11305972406700193,0.0922728722726523,0.2744817941392314,0.0895672582890985,0.2746872498772878,0.11022033862694336,0.5573812716110367
5050,200,laser,0.411126470358103,0.43000655563513845,0.0,0.0,0.0,0.9999983728027786,0.6064798225847412,0.39349644747383206,0.19978934257726494,0.6504654544081268,0.8103038961584987,0.42922578148711255,0.19290961354199965,0.34916309848189964,0.7147985133020338,0.0,0.0,0.0,0.0,0.0,0.35522241512662134,0.4440791686277367,0.35719857288575235,0.4973763095650694,0.3466341497928264,0.5157382589616684,0.7383247477242256
5050,200,hold,0.42139522406077834,0.4187122255129374,0.0,0.3333333333333339,0.0,0.9999990572450397,0.594641278750085,0.2128232404817254,0.46643143784017355,0.5834513491568947,0.8189831137154755,0.42624075576501275,0.5867135100606831,0.15313189308420916,0.5517018779342724,0.0,0.0,0.0,0.0,0.0,0.5674490276428991,0.008312260729690619,0.661808078057426,0.5354061399828534,0.6396331459854339,0.5155431627792504,0.50442805730012
5050,200,cooling,0.5646640858163776,0.18688657545978593,0.0,0.6666666666666661,0.5,0.99999881534686,0.6074722093625005,0.25965617325295876,0.09692306714665633,0.40465265582809273,0.6562782230937776,0.548086944648063,0.020919833918878084,0.40944920202413404,0.3817488262910791,0.0,0.0,0.0,0.0,0.0,0.3756221969961234,0.4425506226632901,0.3657464887543212,0.5132583012592498,0.6507148258372064,0.12064147624779031,0.2634764660221579
5050,250,equilibrium,1.0,0.8948103995850971,1.0,0.3333333333333339,1.0,0.9999990054097143,0.8294699855655803,0.09046136874039634,0.13900848031163315,0.08816254083347497,0.40536728826370716,1.0,0.5755349728521253,1.0,0.007296557120500147,0.0,0.0,0.0,0.0,0.0,0.0,0.41852994184991177,0.0,0.008916899241774745,0.0,0.013527669140886545,0.7197198503987016
5050,250,bed,0.33608557791547256,0.4221469794877315,0.5,0.3333333333333339,0.0,0.9999988531434507,0.5452633840070586,0.3225115900345408,0.11424749546435181,0.7750901640892014,0.8219324584329559,0.4894400964394836,0.8696901948259352,0.6080592318671338,0.8308685446009392,0.0,0.0,0.0,0.0,0.0,0.11305972406700193,0.0922728722726523,0.2744817941392314,0.0895672582890985,0.2746872498772878,0.11022033862694336,0.5573812716110367
5050,250,laser,0.411126470358103,0.43000655563513845,0.0,0.0,0.0,0.9999983728027786,0.6064798225847412,0.39349644747383206,0.19978934257726494,0.6504654544081268,0.8103038961584987,0.42922578148711255,0.19290961354199965,0.34916309848189964,0.7147985133020338,0.0,0.0,0.0,0.0,0.0,0.42352742829308176,0.6152613333013165,0.357364731077582,0.6453123194882742,0.3466341497928264,0.6560844496336695,0.8208153976430739
5050,250,hold,0.35593191920622047,0.26075132689588365,0.5,0.3333333333333339,0.0,0.9999989609177309,0.4777320019161251,0.5381978645443444,0.09219995615275367,0.6868898581921865,0.8686038856273699,0.4461631629309828,0.5306611306291913,0.2600314649020372,0.6703638497652582,0.0,0.0,0.0,0.0,0.0,0.7102545823728043,0.014039252974092937,0.7699032128532592,0.6840049129591459,0.7459460774125648,0.6887375476109723,0.5213993366734881
5050,250,cooling,0.42909678933778483,0.14732290442419327,0.0,0.3333333333333339,0.0,0.9999980868445739,0.474132408720223,0.3404909184035305,0.1333226362998008,0.6122283275741616,0.7981304329975645,0.45262179616906817,0.38486106675183507,0.2144154664590634,0.5216255868544595,0.0,0.0,0.0,0.0,0.0,0.4526777319690739,0.6163176039749022,0.36741960943593904,0.6763648966636873,0.7689960599454317,0.1204884007815854,0.1690106555641805
5050,300,equilibrium,1.0,0.8948103995850971,1.0,0.3333333333333339,1.0,0.9999990054097143,0.8294699855655803,0.09046136874039634,0.13900848031163315,0.08816254083347497,0.40536728826370716,1.0,0.5755349728521253,1.0,0.007296557120500147,0.0,0.0,0.0,0.0,0.0,0.0,0.41852994184991177,0.0,0.008916899241774745,0.0,0.013527669140886545,0.7197198503987016
