Temperature,Stage,Position,CoordAvg,VolAvg,CavAvg,DispAvg,Composition
100,equilibrium,Start,13.51828499369483,37.52112197622049,3.569698453431814,0.0,5050
100,equilibrium,Middle,12.54440641325887,37.52112687803999,3.692314542424789,3.664601064492885,5050
100,equilibrium,End,12.30697171680778,37.52112149972978,3.769001424968474,6.288120935597189,5050
100,bed,Start,12.30697171680778,37.52112134119979,3.769001420464782,0.0,5050
100,bed,Middle,12.43397586020537,37.52112117546388,3.780252511259233,3.879844919960368,5050
100,bed,End,12.44388398486759,37.52111934156007,3.763437813907404,5.796944952693208,5050
100,laser,Start,12.44388398486759,37.52111933795712,3.763437808502972,0.0,5050
100,laser,Middle,12.61880742208611,37.52112220320664,3.728169010989011,3.442205488497568,5050
100,laser,End,12.85534137993154,37.52112189605477,3.709190432354531,5.036179022518465,5050
100,hold,Start,12.85534137993154,37.52112184561341,3.709190463880383,0.0,5050
100,hold,Middle,12.98450729598271,37.52112139164115,3.670951107007746,3.696282447477932,5050
100,hold,End,13.09097459917132,37.52112617546388,3.617180934065934,4.958097445235094,5050
100,cooling,Start,13.09097459917132,37.52112612412178,3.61718094307332,0.0,5050
100,cooling,Middle,13.22824716267339,37.52112031525851,3.615806962709422,2.111944895856602,5050
100,cooling,End,13.32444604575752,37.52112337416682,3.581686346604215,2.719798587677896,5050
150,equilibrium,Start,13.51828499369483,37.52112197622049,3.569698453431814,0.0,5050
150,equilibrium,Middle,12.54440641325887,37.52112687803999,3.692314542424789,3.664601064492885,5050
150,equilibrium,End,12.30697171680778,37.52112149972978,3.769001424968474,6.288120935597189,5050
150,bed,Start,12.30697171680778,37.52112134119979,3.769001420464782,0.0,5050
150,bed,Middle,12.43397586020537,37.52112117546388,3.780252511259233,3.879844919960368,5050
150,bed,End,12.44388398486759,37.52111934156007,3.763437813907404,5.796944952693208,5050
150,laser,Start,12.44388398486759,37.52111933795712,3.763437808502972,0.0,5050
150,laser,Middle,12.64943253467844,37.52112461628536,3.748450559358675,3.569924710322465,5050
150,laser,End,12.56512340118898,37.52112344262294,3.730382631057467,5.315249850747612,5050
150,hold,Start,12.56512340118898,37.5211233156188,3.730382626553774,0.0,5050
150,hold,Middle,12.75247703116556,37.52112247883264,3.746661597910286,4.347864351017834,5050
150,hold,End,12.90848495766529,37.52112353990272,3.65682864979283,5.509648221311475,5050
150,cooling,Start,12.90848495766529,37.52112503152586,3.656828662403171,0.0,5050
150,cooling,Middle,12.98432714826157,37.521121047559,3.652184817150063,2.488096644748694,5050
150,cooling,End,13.10322464420825,37.52112272113133,3.626564695550351,3.2106592529274,5050
200,equilibrium,Start,13.51828499369483,37.52112197622049,3.569698453431814,0.0,5050
200,equilibrium,Middle,12.54440641325887,37.52112687803999,3.692314542424789,3.664601064492885,5050
200,equilibrium,End,12.30697171680778,37.52112149972978,3.769001424968474,6.288120935597189,5050
