Composition,Temperature,Feature,Equilibrium,Bed,Laser,Hold,Cooling,Delta_Equilibrium_to_Bed,PctChange_Equilibrium_to_Bed,Delta_Bed_to_Laser,PctChange_Bed_to_Laser,Delta_Laser_to_Hold,PctChange_Laser_to_Hold,Delta_Hold_to_Cooling,PctChange_Hold_to_Cooling,Total_Change,Total_PctChange
5050,100,Mean_CN,13.518284993694829,12.306971716807782,12.443883984867592,12.855341379931543,13.09097459917132,-1.2113132768870472,-8.960554371002132,0.1369122680598096,1.1124773113179975,0.41145739506395174,3.306502982222474,0.23563321923977654,1.8329596412556048,-0.4273103945235093,-3.160980810234542
5050,100,Std_CN,3.2537324564755887,3.1517463610963654,3.153442213680948,3.164181094892716,3.113967644649343,-0.10198609537922332,-3.1344339690944865,0.0016958525845827133,0.05380675950055812,0.010738881211767914,0.3405447280808942,-0.05021345024337309,-1.586933514153861,-0.13976481182624578,-4.295522563574193
5050,100,Min_CN,3.0,2.0,1.0,1.0,1.0,-1.0,-33.33333333333333,-1.0,-50.0,0.0,0.0,0.0,0.0,-2.0,-66.66666666666666
5050,100,Max_CN,24.0,24.0,23.0,24.0,24.0,0.0,0.0,-1.0,-4.166666666666666,1.0,4.3478260869565215,0.0,0.0,0.0,0.0
5050,100,Median_CN,14.0,12.0,12.0,13.0,13.0,-2.0,-14.285714285714285,0.0,0.0,1.0,8.333333333333332,0.0,0.0,-1.0,-7.142857142857142
5050,100,Mean_AtomicVolume,37.52112197622049,37.52112134119979,37.521119337957124,37.52112184561341,37.52112612412178,-6.350207044647505e-07,-1.6924352765016014e-06,-2.003242663306537e-06,-5.338973334751836e-06,2.5076562835124605e-06,6.683319495150735e-06,4.2785083707030935e-06,1.1402932962153139e-05,4.147901286444267e-06,1.1054843426785195e-05
5050,100,Std_AtomicVolume,146.94638951533193,127.77060530260859,131.90095699042945,129.5650306580973,140.59829113576234,-19.175784212723343,-13.049510284648811,4.130351687820863,3.2326306023507083,-2.33592633233215,-1.770969965367,11.033260477665038,8.515615997328908,-6.348098379569592,-4.3200097671724365
5050,100,Min_AtomicVolume,2.10642,2.28311,2.33716,2.15354,2.3099,0.17669000000000024,8.388165702946242,0.05404999999999971,2.367384839101038,-0.1836199999999999,-7.856543839531735,0.15635999999999983,7.26060347149344,0.20347999999999988,9.659991834486945
5050,100,Max_AtomicVolume,2922.58,2766.72,3305.17,2917.2,3158.19,-155.86000000000013,-5.332959234648842,538.4500000000003,19.461673027989836,-387.97000000000025,-11.738276699836929,240.99000000000024,8.261003702180181,235.61000000000013,8.06171259640455
5050,100,Median_AtomicVolume,10.49175,12.3107,11.980699999999999,11.11785,10.805499999999999,1.818950000000001,17.33695522672577,-0.33000000000000185,-2.6805949296140907,-0.8628499999999981,-7.201999883145377,-0.3123500000000021,-2.809446070957983,0.31374999999999886,2.9904448733528617
5050,100,Mean_CavityRadius,3.569698453431814,3.769001420464782,3.7634378085029723,3.7091904638803825,3.61718094307332,0.1993029670329678,5.583187757536303,-0.005563611961809656,-0.14761501366384647,-0.05424734462258973,-1.4414306116611064,-0.09200952080706237,-2.4805822645949083,0.04748248964150603,1.3301540805458685
5050,100,Std_CavityRadius,3.86405010735081,3.1759871164862106,3.0948384768259856,3.280821609634799,3.413741750646683,-0.6880629908645992,-17.80678230739442,-0.08114863966022501,-2.5550682885012685,0.1859831328088135,6.009461695705512,0.13292014101188387,4.051428478206096,-0.45030835670412683,-11.653791855532068
5050,100,Min_CavityRadius,1.45265,1.47107,1.42869,1.47244,1.46024,0.018420000000000103,1.2680273982032908,-0.042380000000000084,-2.880896218398858,0.043749999999999956,3.0622458335958083,-0.012199999999999989,-0.8285566814267467,0.007589999999999986,0.5224933741782251
